"FACID","NAME","TYPE","LTC","CAPACITY","ADDRESS","CITY","ZIP","FACADMIN","CONTACT_EMAIL","CONTACT_FAX","CONTACT_PHONE_NUMBER","COUNTY_NAME","COUNTY_CODE","DISTRICT_NUMBER","DISTRICT_NAME","LICENSE_NUMBER","INITIAL_LICENSE_DATE","LICENSE_EFFECTIVE_DATE","OSHPD_NUMBER","LATITUDE","LONGITUDE","LOCATION"
930000065,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",345,"1300 N VERMONT AVE","LOS ANGELES",90027,"Stefanek, Allen","kathy.wojno@hpmedcenter.com","(323) 660-0446","(213) 413-3000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000067,"01Jan1946","01Jan2015","106190382",34.09696,-118.290681,"(34.09696, -118.290681)"
930000064,"SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD","GENERAL ACUTE CARE HOSPITAL","Non-LTC",100,"6245 DE LONGPRE AVE","LOS ANGELES",90028,"Levy, Keith","dtopper@altacorp.com","(323) 261-0809","(323) 462-2271",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000066,"08Feb1963","25Feb2015","106190380",34.096221,-118.325401,"(34.096221, -118.325401)"
930000063,"HENRY MAYO NEWHALL HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",215,"23845 MCBEAN PKWY","VALENCIA",91355,"Seaver, Roger","seaverre@henrymayo.com","(661) 200-1033","(661)253-8000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000206,"30Jul1975","30Nov2014","106190949",34.396462,-118.553217,"(34.396462, -118.553217)"
930000062,"GREATER EL MONTE COMMUNITY HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",104,"1701 SANTA ANITA AVE","SOUTH EL MONTE",91733,"Toy, Stanley","stanley.toy@ahmchealth.com","(626) 350-0368","(626) 579-7777",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000063,"01Jul1974","01Dec2014","106190352",34.047959,-118.04245,"(34.047959, -118.04245)"
930000057,"PACIFIC ALLIANCE MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",138,"531 W COLLEGE ST","LOS ANGELES",90012,"Edwards, John","ingrid.lau@pamc.net","(213) 687-7136","(213) 830-6506",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000054,"01Jan1946","01Dec2014","106190307",34.065166,-118.238306,"(34.065166, -118.238306)"
930000056,"FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",105,"250 S GRAND AVE","GLENDORA",91741,"Curry, Robert H","rcurry@mail.cvhp.org","(626) 859-5865","(626) 963-8411",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000052,"26Mar1973","01Nov2014","106190298",34.132425,-117.87159,"(34.132425, -117.87159)"
930000054,"ENCINO HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",107,"16237 VENTURA BLVD","ENCINO",91436,"Park, Bockhi","sharongross@tenethealth.com","(818) 907-8630","(818) 995-5000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000051,"08Nov1954","01Jun2015","106190280",34.156682,-118.485745,"(34.156682, -118.485745)"
930000053,"EAST LOS ANGELES DOCTORS HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",102,"4060 WHITTIER BLVD","LOS ANGELES",90023,"","alonergan@elalax.com","(323) 260-4274","(323) 268-5514",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000049,"15Aug1949","01Nov2014","106190256",34.023906,-118.184004,"(34.023906, -118.184004)"
930000050,"KAISER FOUNDATION HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",218,"13652 CANTARA ST","PANORAMA CITY",91402,"Benton, Dennis","Ruth.A.Counts@kp.org","(818) 375-3480","(818) 375-2000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000080,"21Jun1963","30Jun2015","106190432",34.21982,-118.429382,"(34.21982, -118.429382)"
930000049,"SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",265,"1250 16TH ST","SANTA MONICA",90404,"Watkins, Paul H","PWatkins@mednet.ucla.edu","(424) 259-6626","(310) 319-4000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000146,"01Jan1946","09Nov2014","106190687",34.027503,-118.486035,"(34.027503, -118.486035)"
930000047,"LAKEWOOD REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",172,"3700 SOUTH ST","LAKEWOOD",90712,"Galonsky, Ron","mark.korth@tenethealth.com","(562) 602-0083","(562) 531-2550",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000046,"17May1972","31May2015","106190240",33.860196,-118.148732,"(33.860196, -118.148732)"
930000044,"MARINA DEL REY HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",105,"4650 LINCOLN BLVD","MARINA DEL REY",90292,"Fowler, Sean","jenningsrich@centinelafreeman.com","(310) 574-7854","(310) 823-8911",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000096,"17Apr1970","23Mar2015","106190500",33.981972,-118.438241,"(33.981972, -118.438241)"
930000038,"COAST PLAZA HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",117,"13100 STUDEBAKER RD","NORWALK",90650,"Rowe, Richard","craig@coastplaza.com","(562) 868-3198","(562) 868-3751",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000162,"10Apr1958","26Nov2014","106190766",33.912469,-118.099122,"(33.912469, -118.099122)"
930000036,"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",217,"1500 DUARTE RD","DUARTE",91010,"Sargeant, Marty","msargeant@coh.org","(626) 301-8889","(626) 359-8111",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000033,"08Mar1946","01Nov2014","106190176",34.132178,-117.975153,"(34.132178, -117.975153)"
930000032,"GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",107,"21530 PIONEER BLVD","HAWAIIAN GARDENS",90716,"Sherman, James","rswadener@grhmc.org","(562) 924-5871","(562) 860-0401",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000030,"28Jan1972","13Mar2015","106190159",33.833483,-118.081759,"(33.833483, -118.081759)"
930000031,"CENTURY CITY DOCTORS HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",142,"2070 CENTURY PARK E","LOS ANGELES",90067,"Wolfram, Patricia","RDiamond@dgdk.com","(310) 277-5735","(310) 772-4000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000029,"27Apr1972","26May2015","106190155",34.058821,-118.412285,"(34.058821, -118.412285)"
930000020,"CASA COLINA HOSPITAL FOR REHABILITATIVE MEDICINE","GENERAL ACUTE CARE HOSPITAL","Non-LTC",68,"255 E BONITA AVE","POMONA",91767,"Weldon, Jane A","dschultz@casacolina.org","(909) 596-7845","(909) 596-7733",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000026,"28Feb1961","01Nov2014","106190137",34.09627,-117.746258,"(34.09627, -117.746258)"
930000008,"ANTELOPE VALLEY HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",390,"1600 W AVENUE J","LANCASTER",93534,"Knox, Dennis","webmaster@avhospital.org","(661) 949-5510","(661) 949-5000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000008,"27Sep1955","01Nov2014","106190034",34.689348,-118.158006,"(34.689348, -118.158006)"
930000004,"CEDARS-SINAI MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",886,"8700 BEVERLY BLVD","WEST HOLLYWOOD",90048,"Priselac, Thomas","boothj@cshs.org","(323) 866-7888","(310) 423-3277",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000110,"15Aug1955","13Aug2014","106190555",34.075243,-118.381558,"(34.075243, -118.381558)"
930000003,"PROMISE HOSP OF EAST LOS ANGELES-EAST L.A. CAMPUS","GENERAL ACUTE CARE HOSPITAL","Non-LTC",36,"443 S SOTO ST","LOS ANGELES",90033,"Mccarthy, Richard","rluna@promisehealthcare.com","(562) 531-4699","(562) 408-7401",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000088,"30Jun2004","30Jun2014","106190468",34.039648,-118.212396,"(34.039648, -118.212396)"
630013160,"COALINGA REGIONAL MEDICAL CENTER DP/SNF","SKILLED NURSING FACILITY","LTC",0,"834 MAPLE RD","COALINGA",93210,"","","","",90,"FRESNO",4,"FRESNO",40000085,"","01Jun2015","",36.149211,-120.353173,"(36.149211, -120.353173)"
630012971,"LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA","GENERAL ACUTE CARE HOSPITAL","Non-LTC",106,"28062 BAXTER ROAD","MURRIETA",92563,"Rawson, Richard","","(951) 672-3366","(951)290-4000",430,"RIVERSIDE",25,"RIVERSIDE",550001535,"12Apr2011","01Jul2014","",33.6135,-117.169333,"(33.6135, -117.169333)"
970000188,"SUNRISE CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",99,"1640 N FAIR OAKS AVE","PASADENA",91103,"Chen-Campos, Neng","none@dhs.ca.gov","(626) 773-3383","(626) 773-7969",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000090,"19Jan1971","14Nov2014","206190645",34.17409,-118.150683,"(34.17409, -118.150683)"
970000178,"VILLA GARDENS HEALTH CARE UNIT","SKILLED NURSING FACILITY","LTC",54,"842 E VILLA ST","PASADENA",91101,"Estrin, Emitry","none@dhs.ca.gov","(626) 568-9606","(626) 796-8162",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000085,"26Feb1951","30Nov2014","206190515",34.154248,-118.133833,"(34.154248, -118.133833)"
970000176,"TWO PALMS NURSING CENTER, INC.","SKILLED NURSING FACILITY","LTC",50,"2637 E WASHINGTON BLVD","PASADENA",91107,"Fessenden, Martha","info@marlinda.org","(626) 798-5086","(626) 798-8991",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000084,"12May1959","07Apr2015","206190501",34.169197,-118.096003,"(34.169197, -118.096003)"
970000167,"SAINT VINCENT HEALTHCARE","SKILLED NURSING FACILITY","LTC",78,"1810 N FAIR OAKS AVE","PASADENA",91103,"Bautista Jr., Cipriano","none@dhs.ca.gov","(626) 398-0473","(626) 398-8182",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000080,"16Mar1965","16Nov2014","206190290",34.176852,-118.150705,"(34.176852, -118.150705)"
970000163,"CAMELLIA GARDENS CARE CENTER","SKILLED NURSING FACILITY","LTC",80,"1920 N FAIR OAKS AVE","PASADENA",91103,"Azero, Lolita","cgcc1920@cs.com","(626) 798-7742","(626) 798-6777",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000078,"10Apr1972","05May2015","206190265",34.179099,-118.150713,"(34.179099, -118.150713)"
970000161,"EISENHOWER HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",71,"1470 N FAIR OAKS AVE","PASADENA",91103,"Drew, David","ench1470@aol.com","(626) 798-7704","(626) 798-9133",200,"LOS ANGELES",95,"LOS ANGELES COUNTY SAN GABRIEL",970000077,"30Jan1959","15Dec2014","206190263",34.171109,-118.150659,"(34.171109, -118.150659)"
970000147,"WESTLAKE CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",114,"316 S WESTLAKE AVE","LOS ANGELES",90057,"SAENZ, MICHAEL","ramprez9@aol.com","(213) 484-9266","(213) 484-0510",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000073,"06Oct1970","16Nov2014","206190868",34.061944,-118.271719,"(34.061944, -118.271719)"
970000141,"MAPLE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",59,"2526 MAPLE AVE","LOS ANGELES",90011,"Mackay, James","latrinao@countryvillahealth.com","(213) 747-1615","(213) 747-6371",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000070,"07Oct1965","01Apr2015","206190498",34.024015,-118.265028,"(34.024015, -118.265028)"
970000137,"COUNTRY VILLA REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",180,"340 S ALVARADO ST","LOS ANGELES",90057,"GANS, BARRY","licensing@countryvillahealth.com","(213) 484-9507","(213) 484-9730",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000068,"21Mar1963","01Jun2015","206190375",34.061841,-118.273352,"(34.061841, -118.273352)"
970000133,"GRAND PARK CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",151,"2312 W 8TH ST","LOS ANGELES",90057,"Schmukler, Yehuda","gparkconv@aol.com","(213) 382-0595","(213) 382-7315",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000066,"04Aug1970","18Feb2015","206190158",34.056041,-118.280524,"(34.056041, -118.280524)"
970000131,"CALIFORNIA CONVALESCENT CENTER 1","SKILLED NURSING FACILITY","LTC",66,"909 S LAKE ST","LOS ANGELES",90006,"CAYTON, MICHELLE","none@dhs.ca.gov","(213) 385-8922","(213) 385-7301",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000065,"14Nov1966","01Jan2015","206190123",33.999247,-118.462501,"(33.999247, -118.462501)"
970000127,"BURLINGTON CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",124,"845 S BURLINGTON AVE","LOS ANGELES",90057,"DISTEFANO, DAN","fac01admin@longwoodmgmt.com","(213) 384-1710","(213) 381-5585",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000063,"24May1964","01Nov2014","206190118",34.052213,-118.275276,"(34.052213, -118.275276)"
970000117,"HIGHLAND PARK SKILLED NURSING & WELLNESS CENTRE","SKILLED NURSING FACILITY","LTC",59,"5125 MONTE VISTA ST","LOS ANGELES",90042,"Andrews, Myles S.C.","jadeane@yahoo.com","(323) 254-0293","(323) 254-6125",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000058,"","06May2015","206190604",34.108298,-118.201538,"(34.108298, -118.201538)"
970000111,"KEIRO NURSING HOME","SKILLED NURSING FACILITY","LTC",300,"2221 LINCOLN PARK AVE","LOS ANGELES",90031,"Teshima, Janie","none@dhs.ca.gov","(323) 276-5732","(323) 276-5700",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000059,"22Sep1990","30Jun2015","206194199",34.071065,-118.202536,"(34.071065, -118.202536)"
970000109,"MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP.","SKILLED NURSING FACILITY","LTC",90,"4585 N FIGUEROA ST","LOS ANGELES",90065,"Simms, Rita","asycamore@skilledhealthcare.com","(323) 223-9568","(323) 223-3441",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000054,"","23Jun2015","206190779",34.098035,-118.205601,"(34.098035, -118.205601)"
970000107,"YORK HEALTHCARE & WELLNESS CENTRE","SKILLED NURSING FACILITY","LTC",107,"6071 YORK BLVD","LOS ANGELES",90042,"Pastor, Emmanuel","anjitaly@aol.com","(323) 254-7580","(323) 254-3407",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000053,"01Feb1967","25Sep2014","206190896",34.117713,-118.186997,"(34.117713, -118.186997)"
970000105,"WINDSOR MANOR","SKILLED NURSING FACILITY","LTC",28,"1230 E WINDSOR RD","GLENDALE",91205,"Norden, Kurt","michaelwalper@scphs.com","(818) 240-3887","(818) 244-7219",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000052,"11Jul1955","01Dec2014","206190888",34.137117,-118.238447,"(34.137117, -118.238447)"
970000099,"SOLHEIM LUTHERAN HOME","SKILLED NURSING FACILITY","LTC",76,"2236 MERTON AVE","LOS ANGELES",90041,"Graunke, James W","nhealton@solheimlh.org","(323) 255-3544","(323) 257-7518",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000049,"25Jun1965","30Nov2014","206190725",34.137921,-118.215616,"(34.137921, -118.215616)"
970000097,"SKYLINE HEALTHCARE CENTER-LOS ANGELES","SKILLED NURSING FACILITY","LTC",99,"3032 ROWENA AVE","LOS ANGELES",90039,"Joseph, Jithin","RKDharwadkar@MarinerHealthCare.com","(323) 913-0796","(323) 665-1185",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000048,"","03Nov2014","206190354",34.108911,-118.270488,"(34.108911, -118.270488)"
970000091,"ARARAT CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",42,"2373 COLORADO BLVD","LOS ANGELES",90041,"Keshishyan, Varsenik","violettea@ararathome.org","(323) 257-6822","(323) 256-8012",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000045,"22Mar1963","19Nov2014","206190251",34.139894,-118.218197,"(34.139894, -118.218197)"
970000089,"COLLEGE VISTA CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",49,"4681 EAGLE ROCK BLVD","LOS ANGELES",90041,"Silverman, Jack","chilitepper@kcbx.net","(323) 257-2187","(323) 257-8151",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000044,"01Feb1967","02Nov2014","206190187",34.129595,-118.217016,"(34.129595, -118.217016)"
970000085,"GLENDALE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",48,"1208 S CENTRAL AVE","GLENDALE",91204,"Rodriguez, Catherine","dand@countryvillahealth.com","(818) 246-9853","(818) 246-5516",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000042,"03Dec1962","01Nov2014","206190142",34.13177,-118.257787,"(34.13177, -118.257787)"
970000083,"COUNTRY VILLA LOS FELIZ NURSING CENTER","SKILLED NURSING FACILITY","LTC",131,"3002 ROWENA AVE","LOS ANGELES",90039,"Henry, Steeve","melodym@countryvillahealth.com","(323) 666-9584","(323) 666-1544",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000041,"","01Nov2014","206190141",34.108713,-118.269746,"(34.108713, -118.269746)"
970000070,"INFINITY CARE OF EAST LOS ANGELES","SKILLED NURSING FACILITY","LTC",99,"101 S FICKETT ST","LOS ANGELES",90033,"Sano, Tancredo A","","(323) 261-8213","(323) 261-8108",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000035,"","17Nov2014","206190255",34.042364,-118.207479,"(34.042364, -118.207479)"
970000062,"GARDEN CREST REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",72,"909 LUCILE AVE","LOS ANGELES",90026,"Barron, Paul","garden_crest@yahoo.com","(323) 666-0095","(323) 663-8281",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000031,"02Mar1954","01May2015","206190308",34.085538,-118.282562,"(34.085538, -118.282562)"
970000058,"SERRANO SOUTH CONVALESCENT HOSPITAL","SKILLED NURSING FACILITY","LTC",99,"5400 FOUNTAIN AVE","LOS ANGELES",90029,"Cuaresma, Rolando F","none@dhs.ca.gov","(323) 464-0672","(323) 461-4301",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000029,"02Oct1970","11Nov2014","206190005",34.094945,-118.307128,"(34.094945, -118.307128)"
970000052,"ST. ANDREWS HEALTHCARE","SKILLED NURSING FACILITY","LTC",59,"2300 W WASHINGTON BLVD","LOS ANGELES",90018,"Chivi, Nathaniel","sahc.administrator@standrewshealthcare.com","(323) 731-0616","(323) 731-0861",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000026,"17Oct1963","14Mar2015","206190846",34.039896,-118.311994,"(34.039896, -118.311994)"
970000050,"VERNON HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",99,"1037 W VERNON AVE","LOS ANGELES",90037,"Rieder, Steven","","(323) 446-7470","(323) 232-4895",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000025,"17Apr1964","01Mar2015","206190823",34.003943,-118.257585,"(34.003943, -118.257585)"
970000037,"FLOWER VILLA, INC.","SKILLED NURSING FACILITY","LTC",41,"1480 S LA CIENEGA BLVD","LOS ANGELES",90035,"Ndiyob, Ted","brierwoodterrac@aol.com","(310) 652-0329","(310) 652-3030",200,"LOS ANGELES",94,"LOS ANGELES COUNTY EAST",970000019,"07Mar1955","15Nov2014","206190667",34.050895,-118.376104,"(34.050895, -118.376104)"
970000015,"FOUNTAIN VIEW SUBACUTE AND NURSING CENTER","SKILLED NURSING FACILITY","LTC",99,"5310 FOUNTAIN AVE","LOS ANGELES",90029,"Baltazar, Eleen","afountainviewconv@skilledhealthcare.com","(323) 461-6854","(323) 461-9961",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000008,"26Feb1964","01May2015","206190302",34.095029,-118.305013,"(34.095029, -118.305013)"
970000009,"VIEW PARK CONVALESCENT CENTER","SKILLED NURSING FACILITY","LTC",99,"3737 DON FELIPE DR","LOS ANGELES",90008,"HUANG, JEFFREY","fac12admin@longwoodmgmt.com","(323) 294-8453","(323) 295-7737",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000005,"10Feb1965","01Jan2015","206190221",34.007196,-118.340787,"(34.007196, -118.340787)"
970000005,"BRIER OAK ON SUNSET","SKILLED NURSING FACILITY","LTC",159,"5154 W SUNSET BLVD","LOS ANGELES",90027,"Lehnhoff, Doug","abrieroak@skilledhealthcare.com","(323) 663-0346","(323) 663-3951",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000003,"21Mar1969","06Nov2014","206190105",34.098087,-118.302412,"(34.098087, -118.302412)"
970000003,"ALEXANDRIA CARE CENTER","SKILLED NURSING FACILITY","LTC",177,"1515 N ALEXANDRIA AVE","LOS ANGELES",90027,"Ianeri, Holly","aalexandria@skilledhealthcare.com","(323) 660-0023","(323) 660-1800",200,"LOS ANGELES",92,"LOS ANGELES COUNTY NORTH",970000002,"11Sep1969","06Nov2014","206190015",34.098796,-118.298359,"(34.098796, -118.298359)"
970000001,"ALCOTT REHABILITATION HOSPITAL","SKILLED NURSING FACILITY","LTC",121,"3551 W OLYMPIC BLVD","LOS ANGELES",90019,"Hipschman, Martin","admin.al@mpowercom.net","(323) 734-3234","(323) 737-2000",200,"LOS ANGELES",91,"LOS ANGELES COUNTY WEST",970000001,"13May1964","01May2015","206190012",34.052544,-118.316728,"(34.052544, -118.316728)"
630012380,"TOTALLY KIDS REHABILITATION HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",25,"1720 MOUNTAIN VIEW AVENUE","LOMA LINDA",92354,"Hansen, Irwin","doug@totallykids.com","(909) 796-4365","(909) 796-6915",460,"SAN BERNARDINO",24,"SAN BERNARDINO",550002720,"20Jun2014","20Jun2015","",34.069706,-117.243737,"(34.069706, -117.243737)"
630012364,"KAISER FOUNDATION HOSPITAL - VACAVILLE","GENERAL ACUTE CARE HOSPITAL","Non-LTC",140,"1 QUALITY DR","VACAVILLE",95688,"Barrie, Mary","george.x.mcenroe@kp.org","(707) 624-2051","(707) 624-4000",580,"SOLANO",11,"SANTA ROSA/REDWOOD COAST",550001207,"16Sep2009","16Nov2014","",38.388712,-121.938036,"(38.388712, -121.938036)"
630012294,"LOMA LINDA UNIVERSITY HEART AND SURGICAL HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",28,"26780 BARTON RD","REDLANDS",92373,"Fike, Ruthita J","jmock@llu.edu","(909) 798-2382","(909) 651-7000",460,"SAN BERNARDINO",24,"SAN BERNARDINO",240000169,"01Jan1946","01Nov2014","",34.048321,-117.219937,"(34.048321, -117.219937)"
630012080,"KINDRED HOSPITAL BREA D/P SNF","SKILLED NURSING FACILITY","LTC",38,"875 N BREA BLVD","BREA",92821,"","","","(714) 529-6842",400,"ORANGE",6,"ORANGE COUNTY",60000407,"03Mar1994","03Mar2015","",33.934243,-117.893368,"(33.934243, -117.893368)"
630011959,"KAISER FOUNDATION HOSPITAL-MORENO VALLEY","GENERAL ACUTE CARE HOSPITAL","Non-LTC",101,"27300 IRIS AVE","MORENO VALLEY",92555,"Seale, Corey","","(951) 251-2005","(951) 251-6000",430,"RIVERSIDE",25,"RIVERSIDE",550000810,"10Sep2008","26Jan2015","",33.895188,-117.180871,"(33.895188, -117.180871)"
30001506,"SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIFORNIA","GENERAL ACUTE CARE HOSPITAL","Non-LTC",80,"2425 STOCKTON BLVD","SACRAMENTO",95817,"Bryan, Margaret","mbryan@shrinenet.org","(916) 453-2388","(916) 453-2000",440,"SACRAMENTO",3,"SACRAMENTO",30000620,"08Apr1997","11Apr2015","106344114",38.553089,-121.456275,"(38.553089, -121.456275)"
140000321,"ALAMEDA COUNTY MEDICAL CENTER D/P SNF","SKILLED NURSING FACILITY","LTC",109,"15400 FOOTHILL BLVD","SAN LEANDRO",94578,"Sondecker, Jim","","(510) 895-4511","(510) 895-4200",0,"ALAMEDA",2,"EAST BAY",140000046,"","01Nov2014","",37.70835,-122.120363,"(37.70835, -122.120363)"
30001370,"KAISER FOUNDATION HOSPITAL - ROSEVILLE","GENERAL ACUTE CARE HOSPITAL","Non-LTC",340,"1600 EUREKA RD","ROSEVILLE",95661,"Collins, Jeffrey","carla.j.wolfe@kp.org","(916) 474-2041","(916) 784-4000",410,"PLACER",3,"SACRAMENTO",550001681,"10Sep2011","10Nov2014","",38.745701,-121.252703,"(38.745701, -121.252703)"
630011713,"BAYWOOD COURT HEALTH CENTER","SKILLED NURSING FACILITY","LTC",56,"21966 DOLORES ST","CASTRO VALLEY",94546,"Udelf, Bruce","","(510) 733-2480","(510) 733-2102",0,"ALAMEDA",2,"EAST BAY",550000793,"02Oct2008","02Nov2014","206014238",37.684654,-122.079043,"(37.684654, -122.079043)"
140000062,"WINDSOR MANOR REHABILITATION CENTER OF CONCORD","SKILLED NURSING FACILITY","LTC",190,"3806 CLAYTON ROAD","CONCORD",94521,"Cess, Kenneth J","kcess@snfmgt.com","(925) 689-0509","(925) 689-2266",60,"CONTRA COSTA",2,"EAST BAY",140000140,"","26Dec2014","206071095",37.968807,-122.005326,"(37.968807, -122.005326)"
140000038,"GREENRIDGE SENIOR CARE","SKILLED NURSING FACILITY","LTC",60,"2150 PYRAMID DRIVE","EL SOBRANTE",94803,"Joseph, Linda","ljoseph97@gmail.com","(510) 758-3200","(510) 758-9600",60,"CONTRA COSTA",2,"EAST BAY",140000102,"15May1986","17May2015","206070958",37.9601,-122.29921,"(37.9601, -122.29921)"
30001131,"ESKATON VILLAGE CARE CENTER","SKILLED NURSING FACILITY","LTC",35,"3939 WALNUT AVE","CARMICHAEL",95608,"Donovan, Elizabeth","sita.vadarevu@eskaton.org","(916) 974-2106","(916) 974-2060",440,"SACRAMENTO",3,"SACRAMENTO",30000466,"","04Mar2015","206344077",38.634536,-121.346032,"(38.634536, -121.346032)"
30001004,"AMERICAN RIVER CENTER","SKILLED NURSING FACILITY","LTC",99,"3900 GARFIELD AVE","CARMICHAEL",95608,"VanWalleghem, Eric","eric.vanwall@genesishcc.com","(916) 481-6489","(916) 481-6455",440,"SACRAMENTO",3,"SACRAMENTO",30000404,"22Feb1991","06Dec2014","206344052",38.635938,-121.336701,"(38.635938, -121.336701)"
